Stand	Schedule	P1_Income	P1_Pine_saw	P1_Pine_pulp	P1_Spruce_saw	P1_Spruce_pulp	P1_Birch_saw	P1_Birch_pulp	P2_Income	P2_Pine_saw	P2_Pine_pulp	P2_Spruce_saw	P2_Spruce_pulp	P2_Birch_saw	P2_Birch_pulp	P3_Income	P3_Pine_saw	P3_Pine_pulp	P3_Spruce_saw	P3_Spruce_pulp	P3_Birch_saw	P3_Birch_pulp	P4_Income	P4_Pine_saw	P4_Pine_pulp	P4_Spruce_saw	P4_Spruce_pulp	P4_Birch_saw	P4_Birch_pulp	P5_Income	P5_Pine_saw	P5_Pine_pulp	P5_Spruce_saw	P5_Spruce_pulp	P5_Birch_saw	P5_Birch_pulp	P6_Income	P6_Pine_saw	P6_Pine_pulp	P6_Spruce_saw	P6_Spruce_pulp	P6_Birch_saw	P6_Birch_pulp	PV_timber	PV_land	Binary
9	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2712.811349	32.9775397	4.064978899	9.42065575	0.84138888	0.090987538	0.703900255	0	0	0	0	0	0	0	0	0	0	0	0	0	0	523.5426636	523.5426636	1
9	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2766.52765	33.82536156	3.864653658	9.675921205	0.829276698	0.079413615	0.623324484	0	0	0	0	0	0	0	523.5426636	523.5426636	1
9	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2813.810339	34.4536401	3.855743761	9.917404964	0.82626312	0.068024573	0.539419905	412.446228	412.446228	1
10	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9853.428711	352.0445251	1
10	2	5300.071406	54.91310327	8.430346895	27.99453511	3.202024374	0.06493677	0.430658559	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	523.5426636	523.5426636	1
10	3	0	0	0	0	0	0	0	5360.366461	55.51094947	8.518873157	28.38718533	3.20535872	0.059924192	0.398672832	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	523.5426636	523.5426636	1
10	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5429.659073	56.2937622	8.461369464	28.9557012	3.044857357	0.054604564	0.366534934	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	523.5426636	523.5426636	1
10	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5493.057059	57.05463542	8.381892983	29.28960773	3.125122277	0.049956999	0.33338356	0	0	0	0	0	0	0	0	0	0	0	0	0	0	523.5426636	523.5426636	1
10	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5667.955637	59.3338035	7.914990753	30.45992323	3.00983408	0.029292147	0.195822036	0	0	0	0	0	0	0	523.5426636	523.5426636	1
10	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5836.613171	61.37208587	7.71161905	31.49970384	3.038809614	0.008357084	0.055084036	352.0445251	352.0445251	1
11	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14876.49219	600.819458	1
11	2	15802.73886	112.8859738	20.96656313	110.9806375	15.63077701	5.540183066	31.2987493	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	275.053894	275.053894	1
11	3	0	0	0	0	0	0	0	16022.82393	114.780048	20.87343294	112.8258966	15.55433309	5.673664655	31.31630449	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	275.053894	275.053894	1
11	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16233.01891	116.5165787	20.8801761	114.5439963	15.58958786	5.697397701	31.45477606	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	275.053894	275.053894	1
11	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16456.79542	118.4207813	20.76674994	116.8162645	15.05460163	5.715923645	31.58218985	0	0	0	0	0	0	0	0	0	0	0	0	0	0	275.053894	275.053894	1
11	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17057.14957	123.5359053	20.48022196	121.8234777	15.01483086	6.1170238	31.55124516	0	0	0	0	0	0	0	275.053894	275.053894	1
11	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17651.3569	129.0305498	19.87161853	127.1411838	14.72746652	6.105419252	31.46117897	600.819458	600.819458	1
12	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9829.420898	498.3123169	1
12	2	6060.266517	91.68364583	12.28999117	0.669681231	3.017646742	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	523.5426636	523.5426636	1
12	3	0	0	0	0	0	0	0	6136.291488	93.14653285	11.89614385	0.693904558	3.063577185	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	523.5426636	523.5426636	1
12	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6209.100072	94.21054351	11.86835185	1.134625961	2.686150195	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	523.5426636	523.5426636	1
12	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6299.492139	95.85277447	11.5714932	1.165044206	2.721275162	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	523.5426636	523.5426636	1
12	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6485.047113	98.89718227	11.4041896	1.27757163	2.792124638	0	0	0	0	0	0	0	0	0	523.5426636	523.5426636	1
12	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6667.084881	101.7421822	11.46662007	1.361506257	2.896653135	0	0	498.3123169	498.3123169	1
